City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
391,Longyearbyen,SJ,78.2186,15.6401,28.24,74,75,14.97,light snow
392,Saskylakh,RU,71.9167,114.0833,-52.91,99,64,3.62,broken clouds
393,Denpasar,ID,-8.65,115.2167,82.06,83,40,9.22,scattered clouds
394,Fortuna,US,40.5982,-124.1573,54.36,94,100,5.01,moderate rain
395,Bachaquero,VE,9.9694,-71.1494,81.73,70,63,9.22,broken clouds
396,Sargatskoye,RU,55.6101,73.4972,0.54,97,73,9.55,broken clouds
397,Soc Trang,VN,9.6033,105.98,75.34,90,100,2.84,overcast clouds
398,Envira,BR,-7.3,-70.2167,79.2,67,100,3.56,overcast clouds
399,Charlestown,AU,-32.95,151.6667,72.73,83,100,3.0,overcast clouds
400,Richards Bay,ZA,-28.783,32.0377,88.43,56,49,17.52,scattered clouds
401,Bilma,NE,18.6853,12.9164,73.54,13,98,1.66,overcast clouds
402,Vrangel,RU,42.7297,133.0839,33.13,77,15,17.52,few clouds
403,Riberalta,BO,-10.9833,-66.1,83.79,60,100,6.31,overcast clouds
404,Bambous Virieux,MU,-20.3428,57.7575,82.65,65,75,9.22,broken clouds
405,Changli,CN,39.7042,119.1506,25.99,24,100,15.23,overcast clouds
406,Jaisalmer,IN,26.9147,70.9181,62.82,12,2,6.82,clear sky
407,Tipitapa,NI,12.1973,-86.0971,76.51,73,88,5.64,overcast clouds
408,Puerto Escondido,MX,15.85,-97.0667,75.43,59,0,4.07,clear sky
409,San Matias,BO,-16.3667,-58.4,84.81,66,100,10.09,overcast clouds
410,Mehamn,NO,71.0357,27.8492,33.75,80,40,16.11,scattered clouds
411,Pala,TD,9.3642,14.9046,92.01,11,0,5.97,clear sky
412,Lamar,US,33.6668,-95.5836,33.37,88,0,6.91,clear sky
413,Beloha,MG,-25.1667,45.05,83.01,66,35,17.38,scattered clouds
414,Abha,SA,18.2164,42.5053,56.52,70,97,8.68,overcast clouds
415,Pachino,IT,36.7186,15.0907,57.16,73,59,11.45,broken clouds
